id,title,area,zone,size_sqft,bedrooms,bathrooms,rent_bdt,service_charge_bdt,total_monthly_cost_bdt,price_per_sqft,furnished,parking,lift,cctv,generator,managed_by,verified,source
127,"3 Bed 1348 Sq Ft Furnished Apartment in Block C, Bashundhara R-A","Block C, Bashundhara R-A",Bashundhara R-A,1348,3,3,53400,6000.0,59400.0,39.61424332344214,Furnished,True,True,True,True,Bproperty,True,synthetic
128,"1 Bed 1649 Sq Ft Apartment in Road No 2A, Dhanmondi","Road No 2A, Dhanmondi",Dhanmondi,1649,1,1,58200,5000.0,63200.0,35.294117647058826,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
129,"2 Bed 2009 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,2009,2,2,61800,,61800.0,30.761572921851666,Semi-Furnished,True,True,False,False,Bproperty,True,synthetic
130,"2 Bed 4139 Sq Ft Apartment in Sector 12, Uttara","Sector 12, Uttara",Uttara,4139,2,3,130700,,130700.0,31.5776757670935,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
131,"1 Bed 3803 Sq Ft Apartment in Sector 12, Uttara","Sector 12, Uttara",Uttara,3803,1,2,108000,2000.0,110000.0,28.39863265842756,Unfurnished,False,True,True,True,Bproperty,True,synthetic
132,"2 Bed 928 Sq Ft Apartment in Khilji Road, Mohammadpur","Khilji Road, Mohammadpur",Mohammadpur,928,2,1,25500,7500.0,33000.0,27.478448275862068,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
133,"2 Bed 3042 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,3042,2,1,119300,9000.0,128300.0,39.21761998685076,Unfurnished,True,True,True,True,Bproperty,True,synthetic
134,"1 Bed 4499 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,4499,1,1,87100,7500.0,94600.0,19.359857746165815,Unfurnished,False,True,True,True,Bproperty,True,synthetic
135,"2 Bed 3540 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,3540,2,1,111000,,111000.0,31.35593220338983,Unfurnished,True,True,True,True,Bproperty,True,synthetic
136,"1 Bed 2738 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,2738,1,2,74300,,74300.0,27.136596055514975,Semi-Furnished,True,True,False,True,Bproperty,True,synthetic
137,"3 Bed 3043 Sq Ft Apartment in Block C, Bashundhara R-A","Block C, Bashundhara R-A",Bashundhara R-A,3043,3,4,147100,9000.0,156100.0,48.34045349983569,Unfurnished,False,True,True,True,Bproperty,True,synthetic
138,"1 Bed 1394 Sq Ft Apartment in Block C, Bashundhara R-A","Block C, Bashundhara R-A",Bashundhara R-A,1394,1,2,60400,6000.0,66400.0,43.32855093256815,Unfurnished,True,True,True,True,Bproperty,True,synthetic
139,"5 Bed 1691 Sq Ft Apartment in Sector 12, Uttara","Sector 12, Uttara",Uttara,1691,5,5,42900,,42900.0,25.369603784742754,Unfurnished,True,True,False,False,Bproperty,True,synthetic
140,"2 Bed 3191 Sq Ft Apartment in Humayun Road, Mohammadpur","Humayun Road, Mohammadpur",Mohammadpur,3191,2,2,86100,,86100.0,26.982137261046695,Semi-Furnished,True,True,False,True,Bproperty,True,synthetic
141,"5 Bed 3393 Sq Ft Apartment in Block I, Bashundhara R-A","Block I, Bashundhara R-A",Bashundhara R-A,3393,5,4,146000,9000.0,155000.0,43.0297671676982,Unfurnished,True,False,True,False,Bproperty,True,synthetic
142,"3 Bed 4272 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,4272,3,4,90600,2000.0,92600.0,21.207865168539325,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
143,"4 Bed 1007 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,1007,4,4,22400,,22400.0,22.24428997020854,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
144,"3 Bed 1371 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,1371,3,2,35900,,35900.0,26.185266229029907,Unfurnished,True,True,False,True,Bproperty,True,synthetic
145,"5 Bed 1079 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,1079,5,5,30400,,30400.0,28.174235403151066,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
146,"3 Bed 4013 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,4013,3,4,84500,,84500.0,21.056566159980065,Unfurnished,False,True,False,False,Bproperty,True,synthetic
147,"4 Bed 3931 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,3931,4,5,111200,15000.0,126200.0,28.28796743831086,Unfurnished,True,True,True,True,Bproperty,True,synthetic
148,"4 Bed 4047 Sq Ft Apartment in Block C, Bashundhara R-A","Block C, Bashundhara R-A",Bashundhara R-A,4047,4,3,205600,,205600.0,50.80306399802323,Unfurnished,True,True,False,False,Bproperty,True,synthetic
149,"1 Bed 3410 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,3410,1,2,104700,,104700.0,30.703812316715542,Unfurnished,True,False,True,True,Bproperty,True,synthetic
150,"2 Bed 2276 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,2276,2,2,174300,7500.0,181800.0,76.58172231985941,Unfurnished,True,True,True,False,Bproperty,True,synthetic
151,"4 Bed 1898 Sq Ft Furnished Apartment in Central Road, Dhanmondi","Central Road, Dhanmondi",Dhanmondi,1898,4,4,66700,,66700.0,35.1422550052687,Furnished,True,False,True,False,Bproperty,True,synthetic
152,"4 Bed 1867 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,1867,4,5,66700,15000.0,81700.0,35.72576325656133,Unfurnished,True,True,True,True,Bproperty,True,synthetic
153,"3 Bed 3895 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,3895,3,2,124600,12000.0,136600.0,31.989730423620024,Unfurnished,True,False,True,True,Bproperty,True,synthetic
154,"1 Bed 2757 Sq Ft Apartment in Road No 2A, Dhanmondi","Road No 2A, Dhanmondi",Dhanmondi,2757,1,1,107400,2000.0,109400.0,38.95538628944505,Unfurnished,True,False,True,False,Bproperty,True,synthetic
155,"3 Bed 2094 Sq Ft Apartment in PC Culture Housing, Mohammadpur","PC Culture Housing, Mohammadpur",Mohammadpur,2094,3,2,49800,,49800.0,23.78223495702006,Semi-Furnished,False,True,True,True,Bproperty,True,synthetic
156,"3 Bed 4343 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,4343,3,3,279600,,279600.0,64.37946120193415,Unfurnished,True,True,True,False,Bproperty,True,synthetic
157,"4 Bed 2448 Sq Ft Apartment in Sector 12, Uttara","Sector 12, Uttara",Uttara,2448,4,3,96800,15000.0,111800.0,39.54248366013072,Unfurnished,True,True,True,False,Bproperty,True,synthetic
158,"4 Bed 1268 Sq Ft Apartment in Khilji Road, Mohammadpur","Khilji Road, Mohammadpur",Mohammadpur,1268,4,3,27000,9000.0,36000.0,21.293375394321767,Unfurnished,True,True,True,False,Bproperty,True,synthetic
159,"4 Bed 2332 Sq Ft Apartment in Central Road, Dhanmondi","Central Road, Dhanmondi",Dhanmondi,2332,4,3,59800,,59800.0,25.643224699828473,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
160,"4 Bed 3365 Sq Ft Apartment in Road No 11, Dhanmondi","Road No 11, Dhanmondi",Dhanmondi,3365,4,4,91300,,91300.0,27.13224368499257,Unfurnished,True,True,False,False,Bproperty,True,synthetic
161,"5 Bed 1097 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,1097,5,5,24400,,24400.0,22.242479489516864,Unfurnished,True,True,False,False,Bproperty,True,synthetic
162,"3 Bed 2754 Sq Ft Furnished Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,2754,3,2,161900,12000.0,173900.0,58.78721859114016,Furnished,True,True,True,False,Bproperty,True,synthetic
163,"5 Bed 1656 Sq Ft Furnished Apartment in Block A, Bashundhara R-A","Block A, Bashundhara R-A",Bashundhara R-A,1656,5,5,73800,15000.0,88800.0,44.56521739130435,Furnished,True,True,True,False,Bproperty,True,synthetic
164,"1 Bed 2741 Sq Ft Apartment in Road No 11, Dhanmondi","Road No 11, Dhanmondi",Dhanmondi,2741,1,2,97000,,97000.0,35.388544326887995,Semi-Furnished,False,True,False,True,Bproperty,True,synthetic
165,"5 Bed 2153 Sq Ft Apartment in Block A, Bashundhara R-A","Block A, Bashundhara R-A",Bashundhara R-A,2153,5,4,108700,2000.0,110700.0,50.487691593125874,Semi-Furnished,True,False,True,True,Bproperty,True,synthetic
166,"5 Bed 2875 Sq Ft Furnished Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,2875,5,4,68700,9000.0,77700.0,23.895652173913042,Furnished,True,True,True,False,Bproperty,True,synthetic
167,"1 Bed 2013 Sq Ft Apartment in Central Road, Dhanmondi","Central Road, Dhanmondi",Dhanmondi,2013,1,1,62700,,62700.0,31.147540983606557,Unfurnished,True,True,True,False,Bproperty,True,synthetic
168,"2 Bed 4056 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,4056,2,1,320600,7500.0,328100.0,79.04339250493096,Unfurnished,True,True,True,False,Bproperty,True,synthetic
169,"3 Bed 2533 Sq Ft Apartment in Block A, Bashundhara R-A","Block A, Bashundhara R-A",Bashundhara R-A,2533,3,4,123300,15000.0,138300.0,48.67745756020529,Unfurnished,True,False,True,False,Bproperty,True,synthetic
170,"5 Bed 4496 Sq Ft Apartment in Central Road, Dhanmondi","Central Road, Dhanmondi",Dhanmondi,4496,5,4,173700,9000.0,182700.0,38.63434163701068,Unfurnished,True,True,False,True,Bproperty,True,synthetic
171,"4 Bed 4307 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,4307,4,3,168600,12000.0,180600.0,39.14557696772695,Unfurnished,True,True,True,True,Bproperty,True,synthetic
172,"2 Bed 1032 Sq Ft Apartment in Block C, Bashundhara R-A","Block C, Bashundhara R-A",Bashundhara R-A,1032,2,3,51600,,51600.0,50.0,Semi-Furnished,True,False,True,True,Bproperty,True,synthetic
173,"5 Bed 2906 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,2906,5,5,62700,,62700.0,21.57604955264969,Unfurnished,True,True,True,True,Bproperty,True,synthetic
174,"4 Bed 2076 Sq Ft Apartment in Road No 2A, Dhanmondi","Road No 2A, Dhanmondi",Dhanmondi,2076,4,4,57400,2000.0,59400.0,27.649325626204238,Semi-Furnished,False,True,True,True,Bproperty,True,synthetic
175,"1 Bed 2391 Sq Ft Apartment in Block I, Bashundhara R-A","Block I, Bashundhara R-A",Bashundhara R-A,2391,1,1,125600,3000.0,128600.0,52.53032204098704,Semi-Furnished,False,True,True,True,Bproperty,True,synthetic
176,"2 Bed 1598 Sq Ft Apartment in Block C, Bashundhara R-A","Block C, Bashundhara R-A",Bashundhara R-A,1598,2,2,77500,,77500.0,48.49812265331665,Unfurnished,True,True,True,False,Bproperty,True,synthetic
177,"3 Bed 4113 Sq Ft Apartment in Block I, Bashundhara R-A","Block I, Bashundhara R-A",Bashundhara R-A,4113,3,2,192000,,192000.0,46.68125455871627,Unfurnished,True,True,True,True,Bproperty,True,synthetic
178,"4 Bed 2435 Sq Ft Furnished Apartment in Khilji Road, Mohammadpur","Khilji Road, Mohammadpur",Mohammadpur,2435,4,4,66500,,66500.0,27.310061601642712,Furnished,False,True,True,True,Bproperty,True,synthetic
179,"1 Bed 1480 Sq Ft Apartment in Sector 12, Uttara","Sector 12, Uttara",Uttara,1480,1,2,51200,,51200.0,34.5945945945946,Unfurnished,False,True,False,True,Bproperty,True,synthetic
180,"2 Bed 1412 Sq Ft Apartment in Road No 11, Dhanmondi","Road No 11, Dhanmondi",Dhanmondi,1412,2,2,37000,5000.0,42000.0,26.203966005665723,Unfurnished,True,False,True,True,Bproperty,True,synthetic
181,"4 Bed 969 Sq Ft Furnished Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,969,4,4,38600,5000.0,43600.0,39.834881320949435,Furnished,True,True,True,False,Bproperty,True,synthetic
182,"2 Bed 975 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,975,2,1,30600,3000.0,33600.0,31.384615384615383,Semi-Furnished,False,True,True,False,Bproperty,True,synthetic
183,"3 Bed 2866 Sq Ft Apartment in Road No 11, Dhanmondi","Road No 11, Dhanmondi",Dhanmondi,2866,3,3,98100,,98100.0,34.22889043963713,Unfurnished,True,True,True,True,Bproperty,True,synthetic
184,"1 Bed 2538 Sq Ft Apartment in Block A, Bashundhara R-A","Block A, Bashundhara R-A",Bashundhara R-A,2538,1,1,98600,7500.0,106100.0,38.849487785658,Unfurnished,True,True,False,False,Bproperty,True,synthetic
185,"5 Bed 1511 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,1511,5,5,49700,,49700.0,32.892124420913305,Unfurnished,True,True,True,True,Bproperty,True,synthetic
186,"1 Bed 3397 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,3397,1,1,114500,9000.0,123500.0,33.70621136296732,Unfurnished,True,True,True,True,Bproperty,True,synthetic
187,"3 Bed 1084 Sq Ft Apartment in Nobodoy Housing Society, Mohammadpur","Nobodoy Housing Society, Mohammadpur",Mohammadpur,1084,3,3,35800,3000.0,38800.0,33.025830258302584,Semi-Furnished,False,True,True,True,Bproperty,True,synthetic
188,"3 Bed 1924 Sq Ft Furnished Apartment in PC Culture Housing, Mohammadpur","PC Culture Housing, Mohammadpur",Mohammadpur,1924,3,2,58800,15000.0,73800.0,30.56133056133056,Furnished,True,True,True,False,Bproperty,True,synthetic
189,"5 Bed 3078 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,3078,5,4,243100,2000.0,245100.0,78.97985705003249,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
190,"2 Bed 1223 Sq Ft Furnished Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,1223,2,1,33800,3500.0,37300.0,27.636958299264105,Furnished,True,True,True,True,Bproperty,True,synthetic
191,"4 Bed 4097 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,4097,4,4,92000,2000.0,94000.0,22.455455211130094,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
192,"1 Bed 3380 Sq Ft Furnished Apartment in PC Culture Housing, Mohammadpur","PC Culture Housing, Mohammadpur",Mohammadpur,3380,1,2,74900,15000.0,89900.0,22.159763313609467,Furnished,False,True,True,False,Bproperty,True,synthetic
193,"1 Bed 2486 Sq Ft Apartment in Central Road, Dhanmondi","Central Road, Dhanmondi",Dhanmondi,2486,1,1,96500,5000.0,101500.0,38.81737731295254,Unfurnished,True,True,True,True,Bproperty,True,synthetic
194,"3 Bed 2277 Sq Ft Apartment in Block I, Bashundhara R-A","Block I, Bashundhara R-A",Bashundhara R-A,2277,3,3,119900,,119900.0,52.65700483091788,Unfurnished,False,True,True,True,Bproperty,True,synthetic
195,"5 Bed 1928 Sq Ft Furnished Apartment in Block C, Bashundhara R-A","Block C, Bashundhara R-A",Bashundhara R-A,1928,5,5,75700,7500.0,83200.0,39.26348547717842,Furnished,True,True,True,True,Bproperty,True,synthetic
196,"3 Bed 1184 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,1184,3,2,33900,9000.0,42900.0,28.631756756756758,Unfurnished,False,True,True,True,Bproperty,True,synthetic
197,"5 Bed 1609 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,1609,5,5,58800,,58800.0,36.544437538844,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
198,"4 Bed 2984 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,2984,4,5,97200,,97200.0,32.57372654155496,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
199,"3 Bed 1277 Sq Ft Apartment in Khilji Road, Mohammadpur","Khilji Road, Mohammadpur",Mohammadpur,1277,3,2,30600,3000.0,33600.0,23.962411902897415,Unfurnished,True,False,True,True,Bproperty,True,synthetic
200,"2 Bed 2206 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,2206,2,2,63600,,63600.0,28.83046237533998,Unfurnished,True,True,True,True,Bproperty,True,synthetic
201,"2 Bed 3193 Sq Ft Furnished Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,3193,2,1,108600,12000.0,120600.0,34.0119010335108,Furnished,True,True,True,True,Bproperty,True,synthetic
202,"1 Bed 4367 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,4367,1,2,168800,3500.0,172300.0,38.65353789787039,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
203,"1 Bed 2819 Sq Ft Furnished Apartment in Sector 11, Uttara","Sector 11, Uttara",Uttara,2819,1,2,84400,15000.0,99400.0,29.939694927279177,Furnished,False,True,True,True,Bproperty,True,synthetic
204,"5 Bed 1170 Sq Ft Apartment in Khilji Road, Mohammadpur","Khilji Road, Mohammadpur",Mohammadpur,1170,5,5,29900,,29900.0,25.555555555555557,Unfurnished,True,True,True,True,Bproperty,True,synthetic
205,"1 Bed 3245 Sq Ft Furnished Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,3245,1,1,77000,2000.0,79000.0,23.728813559322035,Furnished,True,True,True,True,Bproperty,True,synthetic
206,"2 Bed 1791 Sq Ft Apartment in Nobodoy Housing Society, Mohammadpur","Nobodoy Housing Society, Mohammadpur",Mohammadpur,1791,2,1,39800,,39800.0,22.22222222222222,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
207,"1 Bed 2029 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,2029,1,2,130600,2000.0,132600.0,64.36668309512075,Unfurnished,False,True,True,False,Bproperty,True,synthetic
208,"3 Bed 1465 Sq Ft Apartment in Block C, Bashundhara R-A","Block C, Bashundhara R-A",Bashundhara R-A,1465,3,4,53100,9000.0,62100.0,36.2457337883959,Unfurnished,False,True,True,False,Bproperty,True,synthetic
209,"5 Bed 4493 Sq Ft Furnished Apartment in Block I, Bashundhara R-A","Block I, Bashundhara R-A",Bashundhara R-A,4493,5,5,223200,3000.0,226200.0,49.67727576229691,Furnished,True,False,False,True,Bproperty,True,synthetic
210,"1 Bed 3223 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,3223,1,1,95400,15000.0,110400.0,29.599751784052124,Unfurnished,True,False,True,False,Bproperty,True,synthetic
211,"1 Bed 1202 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,1202,1,2,38400,,38400.0,31.94675540765391,Unfurnished,True,True,False,False,Bproperty,True,synthetic
212,"1 Bed 2593 Sq Ft Furnished Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,2593,1,2,71300,3500.0,74800.0,27.497107597377553,Furnished,True,False,True,True,Bproperty,True,synthetic
213,"2 Bed 3761 Sq Ft Furnished Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,3761,2,3,84600,3500.0,88100.0,22.49401754852433,Furnished,True,True,True,False,Bproperty,True,synthetic
214,"1 Bed 1330 Sq Ft Apartment in Sector 12, Uttara","Sector 12, Uttara",Uttara,1330,1,1,52900,,52900.0,39.774436090225564,Unfurnished,True,True,True,False,Bproperty,True,synthetic
215,"3 Bed 1796 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,1796,3,3,58500,12000.0,70500.0,32.57238307349666,Unfurnished,False,True,True,False,Bproperty,True,synthetic
216,"3 Bed 1735 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,1735,3,4,38000,,38000.0,21.902017291066283,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
217,"4 Bed 2912 Sq Ft Apartment in Humayun Road, Mohammadpur","Humayun Road, Mohammadpur",Mohammadpur,2912,4,4,69100,3000.0,72100.0,23.729395604395606,Unfurnished,True,True,True,True,Bproperty,True,synthetic
218,"1 Bed 3425 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,3425,1,2,86300,5000.0,91300.0,25.197080291970803,Unfurnished,True,False,True,True,Bproperty,True,synthetic
219,"1 Bed 1025 Sq Ft Apartment in Sector 12, Uttara","Sector 12, Uttara",Uttara,1025,1,2,39200,12000.0,51200.0,38.24390243902439,Semi-Furnished,False,True,True,False,Bproperty,True,synthetic
220,"3 Bed 4073 Sq Ft Furnished Apartment in Sector 12, Uttara","Sector 12, Uttara",Uttara,4073,3,4,138500,15000.0,153500.0,34.00441934691873,Furnished,True,True,True,True,Bproperty,True,synthetic
221,"2 Bed 962 Sq Ft Apartment in PC Culture Housing, Mohammadpur","PC Culture Housing, Mohammadpur",Mohammadpur,962,2,1,27500,6000.0,33500.0,28.586278586278585,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
222,"3 Bed 2092 Sq Ft Apartment in Central Road, Dhanmondi","Central Road, Dhanmondi",Dhanmondi,2092,3,4,74500,3000.0,77500.0,35.61185468451243,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
223,"3 Bed 4272 Sq Ft Apartment in PC Culture Housing, Mohammadpur","PC Culture Housing, Mohammadpur",Mohammadpur,4272,3,2,90400,12000.0,102400.0,21.16104868913858,Unfurnished,True,True,True,False,Bproperty,True,synthetic
224,"1 Bed 3426 Sq Ft Apartment in Central Road, Dhanmondi","Central Road, Dhanmondi",Dhanmondi,3426,1,2,95000,12000.0,107000.0,27.72913018096906,Unfurnished,True,True,True,True,Bproperty,True,synthetic
225,"3 Bed 3081 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,3081,3,4,240500,15000.0,255500.0,78.05907172995781,Semi-Furnished,False,False,True,False,Bproperty,True,synthetic
226,"1 Bed 3249 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,3249,1,2,127400,,127400.0,39.212065250846415,Unfurnished,True,True,True,True,Bproperty,True,synthetic
227,"1 Bed 3534 Sq Ft Apartment in Block C, Bashundhara R-A","Block C, Bashundhara R-A",Bashundhara R-A,3534,1,1,150700,,150700.0,42.642897566496885,Semi-Furnished,True,True,False,True,Bproperty,True,synthetic
228,"4 Bed 3328 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,3328,4,3,126600,,126600.0,38.04086538461539,Unfurnished,True,True,True,True,Bproperty,True,synthetic
229,"1 Bed 1055 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,1055,1,2,66500,12000.0,78500.0,63.03317535545024,Semi-Furnished,True,False,True,False,Bproperty,True,synthetic
230,"1 Bed 1962 Sq Ft Furnished Apartment in Sector 12, Uttara","Sector 12, Uttara",Uttara,1962,1,2,60800,3000.0,63800.0,30.988786952089704,Furnished,True,True,True,True,Bproperty,True,synthetic
231,"1 Bed 3898 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,3898,1,2,134200,2000.0,136200.0,34.427911749615184,Semi-Furnished,True,False,False,True,Bproperty,True,synthetic
232,"3 Bed 2135 Sq Ft Apartment in Block A, Bashundhara R-A","Block A, Bashundhara R-A",Bashundhara R-A,2135,3,2,77800,,77800.0,36.440281030444964,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
233,"5 Bed 3140 Sq Ft Furnished Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,3140,5,5,103800,,103800.0,33.05732484076433,Furnished,True,True,True,True,Bproperty,True,synthetic
234,"5 Bed 3370 Sq Ft Apartment in Road No 2A, Dhanmondi","Road No 2A, Dhanmondi",Dhanmondi,3370,5,5,131000,,131000.0,38.87240356083086,Unfurnished,True,True,True,True,Bproperty,True,synthetic
235,"4 Bed 3698 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,3698,4,5,101100,5000.0,106100.0,27.33910221741482,Unfurnished,True,True,True,True,Bproperty,True,synthetic
236,"1 Bed 2119 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,2119,1,1,66600,,66600.0,31.429919773478055,Unfurnished,False,True,True,True,Bproperty,True,synthetic
237,"1 Bed 2526 Sq Ft Furnished Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,2526,1,1,64900,9000.0,73900.0,25.692794932699922,Furnished,False,True,False,True,Bproperty,True,synthetic
238,"4 Bed 2248 Sq Ft Apartment in Nobodoy Housing Society, Mohammadpur","Nobodoy Housing Society, Mohammadpur",Mohammadpur,2248,4,5,68700,15000.0,83700.0,30.560498220640568,Unfurnished,True,True,False,True,Bproperty,True,synthetic
239,"2 Bed 3664 Sq Ft Furnished Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,3664,2,3,90300,,90300.0,24.645196506550217,Furnished,False,False,False,True,Bproperty,True,synthetic
240,"1 Bed 2819 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,2819,1,2,81700,,81700.0,28.981908478183755,Semi-Furnished,False,True,True,True,Bproperty,True,synthetic
241,"4 Bed 1854 Sq Ft Apartment in Sector 12, Uttara","Sector 12, Uttara",Uttara,1854,4,4,60300,,60300.0,32.52427184466019,Unfurnished,True,True,False,True,Bproperty,True,synthetic
242,"5 Bed 4325 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,4325,5,5,112000,9000.0,121000.0,25.895953757225435,Unfurnished,True,True,True,True,Bproperty,True,synthetic
243,"3 Bed 3249 Sq Ft Furnished Apartment in Nobodoy Housing Society, Mohammadpur","Nobodoy Housing Society, Mohammadpur",Mohammadpur,3249,3,4,97700,12000.0,109700.0,30.070791012619267,Furnished,True,True,True,False,Bproperty,True,synthetic
244,"2 Bed 1473 Sq Ft Apartment in Humayun Road, Mohammadpur","Humayun Road, Mohammadpur",Mohammadpur,1473,2,3,40400,3500.0,43900.0,27.427019687712153,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
245,"1 Bed 3476 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,3476,1,1,99700,7500.0,107200.0,28.682393555811277,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
246,"3 Bed 1377 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,1377,3,3,41200,,41200.0,29.920116194625997,Unfurnished,False,True,True,False,Bproperty,True,synthetic
247,"1 Bed 4356 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,4356,1,2,158100,,158100.0,36.294765840220386,Unfurnished,True,True,True,True,Bproperty,True,synthetic
248,"2 Bed 4437 Sq Ft Apartment in Sector 12, Uttara","Sector 12, Uttara",Uttara,4437,2,2,170300,7500.0,177800.0,38.38178949740816,Semi-Furnished,True,True,False,True,Bproperty,True,synthetic
